Testo,Codice Lingua
Statua in marmo di un imperatore romano del II secolo,it
Anfora greca con decorazioni a figure nere,it
Dipinto rinascimentale raffigurante la Madonna con il bambino,it
Elmo corinzio in bronzo del VI secolo a.C.,it
Manoscritto medievale con miniature dorate,it
Scultura lignea gotica di un santo,it
Spada vichinga con impugnatura decorata,it
Maschera funeraria egizia in oro,it
Tavoletta sumera con incisioni cuneiformi,it
Vaso cinese della dinastia Ming con smalti blu e bianchi,it
Affresco pompeiano con scena mitologica,it
Arpa barocca in legno intagliato e dorato,it
Moneta d'argento dell'Impero bizantino,it
Armatura completa da cavaliere del XV secolo,it
Fusaiola neolitica decorata,it
Mosaico romano con motivi geometrici,it
Scultura in bronzo raffigurante Eracle,it
Brocca etrusca con iscrizioni in alfabeto etrusco,it
Pettine in osso dell'epoca vichinga,it
Elmo samurai con cresta ornamentale,it
Anello sigillo dell'antico Egitto,it
Tappeto persiano del XVII secolo con disegni floreali,it
Pergamena con notazione musicale medievale,it
Daga rituale in ossidiana delle civiltà precolombiane,it
Miniatura persiana con scene di caccia,it
Idolo votivo in terracotta della cultura nuragica,it
Statuetta di divinità induista in bronzo,it
Cassa di orologio barocco in legno intarsiato,it
Collana fenicia in ambra e vetro colorato,it
Scudo decorato degli indigeni amazzonici,it
Bacchetta da rabdomante dell'epoca romana,it
Corno da caccia medievale intagliato,it
Diorama egizio raffigurante la costruzione di una piramide,it
Ritratto in avorio dell'epoca napoleonica,it
Elmo da gladiatore romano,it
Pugnale con lama in cristallo di rocca precolombiano,it
Vetrata gotica con scene bibliche,it
Bottiglia di profumo in vetro soffiato veneziano,it
Chiave di bronzo di una porta medievale,it
Cilindro con iscrizioni geroglifiche egizie,it
Coppa d'oro della civiltà micenea,it
Reliquiario gotico con smalti e pietre preziose,it
Ascia in pietra levigata dell'età della pietra,it
Fibula in oro e smalto di epoca longobarda,it
Vaso in porcellana con scene della vita di corte cinese,it
Bracciale in argento dell'epoca vichinga,it
Carro da guerra in miniatura della civiltà assira,it
Piatto ceramico ispano-moresco del XIV secolo,it
Maschera rituale africana in legno intagliato,it
Dipinto barocco raffigurante una scena di caccia,it
Spilla in oro con smalto cloisonné del periodo bizantino,it
Statuetta votiva in bronzo della civiltà celtica,it
Anfora romana con decorazioni in rilievo,it
Elmo medievale con visiera mobile,it
Idolo in giada della cultura olmeca,it
Pergamena con scrittura runica vichinga,it
Ciondolo egizio con simbolo dell'occhio di Horus,it
Scultura maya in pietra raffigurante un sacerdote,it
Vaso decorato con scene mitologiche della civiltà cretese,it
Pettorale da armatura rinascimentale in acciaio brunito,it
Papiro con testi sacri dell'Antico Egitto,it
Tamburo cerimoniale delle tribù native americane,it
Sperone da cavaliere medievale in ferro battuto,it
Sigillo cilindrico mesopotamico con incisioni,it
Scettro rituale azteco con intarsi di turchese,it
Mosaico bizantino con rappresentazione di Cristo Pantocratore,it
Fiasca per pellegrini medievale in terracotta,it
Spada con lama damascata e impugnatura in avorio,it
Croce reliquiario gotica con gemme incastonate,it
Piatto ceramico con decorazione ottomana in blu e bianco,it
Statua di Buddha in bronzo dorato della dinastia Tang,it
Medaglia commemorativa del periodo napoleonico,it
Clessidra del XVI secolo con struttura in ottone,it
Urna funeraria etrusca decorata con scene di banchetto,it
Daga rituale tibetana con decorazioni in argento,it
Tessuto precolombiano con motivi geometrici colorati,it
Bastone da comando africano con incisioni rituali,it
Bassorilievo romano in marmo con scena di battaglia,it
Diadema in oro della civiltà tracia,it
Strumento musicale antico in osso con fori per le note,it
Elmo da cavaliere crociato con croce incisa,it
Lampada a olio romana con raffigurazione di Mercurio,it
Moneta d'oro dell'Impero persiano,it
Bottiglia in vetro con smalti dorati della dinastia Safavide,it
Scudo persiano con decorazioni floreali incise,it
Pettorale egizio con scarabeo sacro al centro,it
Tavoletta votiva greca con iscrizioni incise,it
Veste cerimoniale samurai in seta ricamata,it
Pugnale scita con lama curva e decorazioni animali,it
Bracciale in bronzo dell'epoca celtica,it
Vetrata medievale con rappresentazione di santi,it
Statuetta in terracotta della civiltà della valle dell'Indo,it
Scrigno medievale in legno con borchie in ferro,it
Pendente vichingo con rappresentazione di Thor,it
Sigillo papale in piombo con immagine di San Pietro,it
Cintura in cuoio con fibbia longobarda in bronzo,it
Bacile rinascimentale in rame inciso con motivi vegetali,it
Elmo crestato della civiltà sannitica,it
Marble statue of a Roman emperor from the 2nd century,en
Greek amphora with black-figure decorations,en
Renaissance painting depicting the Madonna and Child,en
Corinthian bronze helmet from the 6th century BC,en
Medieval manuscript with gilded miniatures,en
Gothic wooden sculpture of a saint,en
Viking sword with a decorated hilt,en
Egyptian gold funerary mask,en
Sumerian tablet with cuneiform inscriptions,en
Ming Dynasty Chinese vase with blue and white enamels,en
Pompeian fresco with a mythological scene,en
Baroque harp in carved and gilded wood,en
Silver coin from the Byzantine Empire,en
Full knight's armor from the 15th century,en
Decorated Neolithic spindle whorl,en
Roman mosaic with geometric patterns,en
Bronze sculpture depicting Heracles,en
Etruscan jug with inscriptions in the Etruscan alphabet,en
Bone comb from the Viking Age,en
Samurai helmet with an ornamental crest,en
Ancient Egyptian signet ring,en
17th-century Persian carpet with floral patterns,en
Medieval parchment with musical notation,en
Obsidian ritual dagger from pre-Columbian civilizations,en
Persian miniature depicting a hunting scene,en
Terracotta votive idol from the Nuragic culture,en
Hindu deity figurine in bronze,en
Baroque clock case in inlaid wood,en
Phoenician necklace in amber and colored glass,en
Decorated shield of Amazonian indigenous people,en
Roman-era dowsing rod,en
"Medieval hunting horn, intricately carved",en
Egyptian diorama depicting the construction of a pyramid,en
Ivory portrait from the Napoleonic era,en
Roman gladiator helmet,en
Pre-Columbian dagger with a rock crystal blade,en
Gothic stained glass window with biblical scenes,en
Venetian blown glass perfume bottle,en
Bronze key from a medieval door,en
Cylinder with Egyptian hieroglyphic inscriptions,en
Golden cup from the Mycenaean civilization,en
Gothic reliquary with enamels and precious stones,en
Polished stone axe from the Stone Age,en
Lombard-era gold and enamel fibula,en
Porcelain vase with scenes of Chinese court life,en
Silver Viking bracelet,en
Miniature war chariot from the Assyrian civilization,en
Hispano-Moresque ceramic plate from the 14th century,en
African ritual mask in carved wood,en
Baroque painting depicting a hunting scene,en
